Time,step,pos_x,pos_y,angle,action,reward,episode_reward
2019年11月17日13:43:32,5,8.333333333333330,49.666666666666700,53,1,-10.0,-63.28655550426310
2019年11月17日13:43:51,0,14.344827016194700,51.666666666666700,0,1,76.05397083391720,76.05397083391720
2019年11月17日13:43:56,1,11.53954823811850,43.1440684000651,47,1,-10.0,66.05397083391720
2019年11月17日13:44:01,2,11.53954823811850,43.1440684000651,36,1,-10.0,56.05397083391720
2019年11月17日13:44:09,3,7.59929084777832,68.16666666666670,38,0,-59.942753723874200,-3.8887828899569900
2019年11月17日13:44:16,4,7.833333333333330,68.83333333333330,38,0,-9.83095935626892,-13.719742246225900
2019年11月17日13:44:24,5,7.793010711669920,68.53225708007810,38,0,-8.82223469647954,-22.541976942705400
2019年11月17日13:44:30,6,12.635021209716800,71.5,46,3,34.789187910315000,12.24721096760960
2019年11月17日13:44:37,7,14.350967407226600,84.00780232747400,46,3,-9.464794228280480,2.7824167393291100
2019年11月17日13:44:44,8,12.5,85.66666666666670,31,4,-88.35119270295170,-85.56877596362260
2019年11月17日13:44:51,9,16.5,71.33333333333330,31,0,35.5617930021873,-50.006982961435300
2019年11月17日13:45:07,0,16.0,73.83333333333330,57,3,-10.0,-10.0
2019年11月17日13:45:13,1,22.166666666666700,37.666666666666700,52,3,67.51338527023310,57.51338527023310
2019年11月17日13:45:19,2,14.247126261393200,43.666666666666700,28,1,22.85451312601570,80.36789839624870
2019年11月17日13:45:24,3,10.78186289469400,34.0,39,1,-46.37526062355820,33.99263777269060
2019年11月17日13:45:32,4,19.166666666666700,41.833333333333300,52,0,65.03845188787690,99.03108966056750
2019年11月17日13:45:37,5,29.82739003499350,42.4454345703125,55,1,83.87177639669400,182.90286605726200
2019年11月17日13:45:42,6,32.666666666666700,52.166666666666700,40,1,62.28919637860660,245.19206243586800
2019年11月17日13:45:48,7,32.166666666666700,49.833333333333300,42,1,-10.0,235.19206243586800
2019年11月17日13:45:55,8,19.333333333333300,84.66666666666670,51,0,-170.290959250666,64.90110318520210
2019年11月17日13:46:00,9,29.333333333333300,85.33333333333330,50,1,76.21647354768440,141.1175767328870
2019年11月17日13:46:08,10,21.333333333333300,85.83333333333330,51,0,-53.55471277221910,87.56286396066740
2019年11月17日13:46:14,11,21.333333333333300,85.83333333333330,48,1,-8.916707928750900,78.64615603191650
2019年11月17日13:46:19,12,21.333333333333300,85.33333333333330,48,1,-9.063565034716420,69.5825909972001
2019年11月17日13:46:24,13,21.389689127604200,85.6151123046875,48,1,-12.362908335221600,57.21968266197850
2019年11月17日13:46:30,14,21.333333333333300,85.66666666666670,48,1,-10.228330860053100,46.99135180192540
2019年11月17日13:46:35,15,21.5,85.33333333333330,48,1,-13.238880740495600,33.75247106142980
2019年11月17日13:46:42,16,15.0,86.83333333333330,58,4,-74.78297629108970,-41.030505229659900
2019年11月17日13:46:48,17,15.666666666666700,64.5,60,3,12.0158923934099,-29.014612836250000
2019年11月17日13:46:53,18,13.333333333333300,79.83333333333330,60,2,5.3760943737120200,-23.638518462537900
2019年11月17日13:47:10,0,14.166666666666700,77.5,60,3,-10.0,-10.0
2019年11月17日13:47:15,1,14.166666666666700,77.5,50,1,-10.0,-20.0
2019年11月17日13:47:21,2,14.166666666666700,77.5,50,3,-10.0,-30.0
2019年11月17日13:47:27,3,31.5,74.50000000000000,52,2,-133.85567025404500,-163.85567025404500
2019年11月17日13:47:34,4,11.90182622273760,52.5,30,3,-342.2034884423440,-506.0591586963900
2019年11月17日13:47:39,5,15.666666666666700,50.833333333333300,60,1,70.39439970166770,-435.6647589947220
2019年11月17日13:47:45,6,12.333333333333300,47.166666666666700,60,4,-20.37575474922820,-456.04051374395
2019年11月17日13:47:52,7,13.166666666666700,68.5,51,4,23.627890427108600,-432.4126233168410
2019年11月17日13:47:58,8,16.0,57.833333333333300,58,3,-10.0,-442.4126233168410
2019年11月17日13:48:03,9,35.59871164957680,58.02360534667970,54,1,-10.0,-452.4126233168410
